Ticker;CÓDIGO;EMPRESA;SETOR ECONÔMICO;SUBSETOR;SEGMENTO
DASA3.SA;DASA;DASA        ;Saúde;Serviços Médico - Hospitalares, Análises e Diagnósticos;Serviços Médico - Hospitalares, Análises e Diagnósticos
VLID3.SA;VLID;VALID       ;Bens Industriais;Serviços Diversos;Serviços Diversos
VIVR3.SA;VIVR;VIVER       ;Consumo Cíclico;Construção Civil;Incorporações
MATD3.SA;MATD;MATER DEI;Saúde;Serviços Médico - Hospitalares, Análises e Diagnósticos;Serviços Médico - Hospitalares, Análises e Diagnósticos
PRNR3.SA;PRNR;PRINER;Bens Industriais;Serviços Diversos;Serviços Diversos
RNEW4.SA;RNEW;RENOVA      ;Utilidade Pública;Energia Elétrica;Energia Elétrica
RNEW3.SA;RNEW;RENOVA      ;Utilidade Pública;Energia Elétrica;Energia Elétrica
SHUL4.SA;SHUL;SCHULZ      ;Bens Industriais;Máquinas e Equipamentos;Motores, Compressores e Outros
SHUL3.SA;SHUL;SCHULZ      ;Bens Industriais;Máquinas e Equipamentos;Motores, Compressores e Outros
CSED3.SA;CSED;CRUZEIRO EDU;Consumo Cíclico;Diversos;Serviços Educacionais
JALL3.SA;JALL;JALLESMACHAD;Consumo não Cíclico;Alimentos Processados;Açucar e Alcool
LUPA3.SA;LUPA;LUPATECH    ;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços
WIZC3.SA;WIZC;WIZ CO;Financeiro;Previdência e Seguros;Corretoras de Seguros e Resseguros
TECN3.SA;TECN;TECHNOS     ;Consumo Cíclico;Tecidos, Vestuário e Calçados;Acessórios
BMOB3.SA;BMOB;BEMOBI TECH;Tecnologia da Informação;Programas e Serviços;Programas e Serviços
PNVL3.SA;PNVL;DIMED       ;Saúde;Comércio e Distribuição;Medicamentos e Outros Produtos
PNVL4.SA;PNVL;DIMED       ;Saúde;Comércio e Distribuição;Medicamentos e Outros Produtos
MTRE3.SA;MTRE;MITRE REALTY;Consumo Cíclico;Construção Civil;Incorporações
PORT3.SA;PORT;WILSON SONS ;Bens Industriais;Transporte;Serviços de Apoio e Armazenagem
LAVV3.SA;LAVV;LAVVI;Consumo Cíclico;Construção Civil;Incorporações
ORVR3.SA;ORVR;ORIZON;Utilidade Pública;Água e Saneamento;Água e Saneamento
SOJA3.SA;SOJA;BOA SAFRA;Consumo não Cíclico;Agropecuária;Agricultura
OPCT3.SA;OPCT;OCEANPACT;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços
MDNE3.SA;MDNE;MOURA DUBEUX;Consumo Cíclico;Construção Civil;Incorporações
CLSA3.SA;CLSA;CLEARSALE;Financeiro;Serviços Financeiros Diversos;Serviços Financeiros Diversos
PINE4.SA;PINE;PINE        ;Financeiro;Intermediários Financeiros;Bancos
LEVE3.SA;LEVE;METAL LEVE  ;Consumo Cíclico;Automóveis e Motocicletas;Automóveis e Motocicletas
ARML3.SA;ARML;ARMAC;Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais
VULC3.SA;VULC;VULCABRAS   ;Consumo Cíclico;Tecidos, Vestuário e Calçados;Calçados
JSLG3.SA;JSLG;JSL         ;Bens Industriais;Transporte;Transporte Rodoviário
